DRAGEN TruSight Oncology 500 ctDNA v2.6.2 Analysis Software - Metrics Output			
For Research Use Only. Not for use in diagnostic procedures.			
			
[Header]			
Output Date	2025-07-07		
Output Time	17:57:34		
Pipeline Version	2.6.2.0		
			
[Run QC Metrics]			
Metric (UOM)	LSL Guideline	USL Guideline	Value
PCT_Q30_R1 (%)	NA	NA	NA
PCT_Q30_R2 (%)	NA	NA	NA
			
[Analysis Status]			
	Twist_3_b_Vaf_5-TSO		
COMPLETED_ALL_STEPS	TRUE		
FAILED_STEPS	NA		
STEPS_NOT_EXECUTED	NA		
			
[DNA Library QC Metrics]			
Metric (UOM)	LSL Guideline	USL Guideline	Twist_3_b_Vaf_5-TSO
CONTAMINATION_SCORE (NA)	0	1227	524
			
[DNA Library QC Metrics for Small Variant Calling and TMB]			
Metric (UOM)	LSL Guideline	USL Guideline	Twist_3_b_Vaf_5-TSO
MEDIAN_EXON_COVERAGE (count)	1300	NA	2308
PCT_EXON_1000X (%)	80.0	NA	96.4
			
[DNA Library QC Metrics for MSI and Fusions]			
Metric (UOM)	LSL Guideline	USL Guideline	Twist_3_b_Vaf_5-TSO
MEDIAN_EXON_COVERAGE (count)	1300	NA	2308
			
[DNA Library QC Metrics for CNV Calling]			
Metric (UOM)	LSL Guideline	USL Guideline	Twist_3_b_Vaf_5-TSO
GENE_SCALED_MAD (count)	0.000	0.059	0.041
MEDIAN_BIN_COUNT_CNV_TARGET (count)	6.0	NA	22.8
			
[DNA Expanded Metrics]			
Metric (UOM)	LSL Guideline	USL Guideline	Twist_3_b_Vaf_5-TSO
TOTAL_PF_READS (count)	NA	NA	975401208
MEAN_FAMILY_SIZE (count)	NA	NA	8.5
MEDIAN_TARGET_COVERAGE (count)	NA	NA	2297
PCT_CHIMERIC_READS (%)	NA	NA	0.27
PCT_EXON_500X (%)	NA	NA	98.6
PCT_EXON_1500X (%)	NA	NA	89.7
PCT_READ_ENRICHMENT (%)	NA	NA	67.3
PCT_USABLE_UMI_READS (%)	NA	NA	99.9
MEAN_TARGET_COVERAGE (count)	NA	NA	2172
PCT_ALIGNED_READS (%)	NA	NA	99.3
PCT_CONTAMINATION_EST (%)	NA	NA	5.05
PCT_TARGET_0.4X_MEAN (%)	NA	NA	96.8
PCT_TARGET_500X (%)	NA	NA	98.6
PCT_TARGET_1000X (%)	NA	NA	95.8
PCT_TARGET_1500X (%)	NA	NA	87.9
PCT_DUPLEXFAMILIES (%)	NA	NA	45.7
MEDIAN_INSERT_SIZE (bp)	NA	NA	162
MAX_SOMATIC_AF (NA)	NA	NA	0.0668
PCT_SOFT_CLIPPED_BASES (%)	NA	NA	2.31
PCT_Q30_BASES (%)	NA	NA	95.24
			
[Notes]			
Run Metrics	Run Metrics are not generated and values are reported as NA when starting analysis from FASTQ files.		
DNA Library QC Metrics	DNA library QC Metrics are evaluated using contamination score		
DNA Library QC Metrics for CNV Calling	GENE_SCALED_MAD LSL guideline only applies to real cell free DNA.		
DNA Library QC Metrics for Small Variant Calling and TMB	MEDIAN_EXON_COVERAGE is a Fusion QC Metric.		
